"PermissionType","ClientObjectId","ClientDisplayName","ResourceObjectId","ResourceDisplayName","Permission","ConsentType","PrincipalObjectId","PrincipalDisplayName"
"Delegated","fc565bb6-8abd-412f-a810-1b4dad54e529","Okta Microsoft Graph Client","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","AllPrincipals",,""
"Delegated","fc565bb6-8abd-412f-a810-1b4dad54e529","Okta Microsoft Graph Client","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","Directory.ReadWrite.All","AllPrincipals",,""
"Delegated","999d92be-8b97-46d2-ada8-879bb40420ce","Partner Center Web App","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","Directory.AccessAsUser.All","AllPrincipals",,""
"Delegated","999d92be-8b97-46d2-ada8-879bb40420ce","Partner Center Web App","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","AllPrincipals",,""
"Delegated","999d92be-8b97-46d2-ada8-879bb40420ce","Partner Center Web App","19ea5615-e411-412c-9c94-47832f9fdcfc","Microsoft Partner Center","user_impersonation","AllPrincipals",,""
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","AllPrincipals",,""
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","1fe372c2-edf6-46af-8b46-774ffdadc15a","Brian Wheatley"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","f5c65346-0bc7-4b83-8e03-c7262b2450fb","Juan Velasquez"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","2616b453-ccbe-4fc9-ada4-1d2fe92d612f","Emily Palcsak"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","215f519b-077e-4fe4-8940-1caaab857aad","Duy Nguyen"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","5145efb9-172d-44be-8b78-f87a905e3ffa","Andrew Pasternak"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","86c4f11b-3751-49e1-8665-c049cd9411fd","Lucas Price"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EAS.AccessAsUser.All","AllPrincipals",,""
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EWS.AccessAsUser.All","AllPrincipals",,""
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","full_access_as_user","Principal","1fe372c2-edf6-46af-8b46-774ffdadc15a","Brian Wheatley"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EWS.AccessAsUser.All","Principal","215f519b-077e-4fe4-8940-1caaab857aad","Duy Nguyen"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EWS.AccessAsUser.All","Principal","5145efb9-172d-44be-8b78-f87a905e3ffa","Andrew Pasternak"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EAS.AccessAsUser.All","Principal","f5c65346-0bc7-4b83-8e03-c7262b2450fb","Juan Velasquez"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EWS.AccessAsUser.All","Principal","f5c65346-0bc7-4b83-8e03-c7262b2450fb","Juan Velasquez"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EAS.AccessAsUser.All","Principal","2616b453-ccbe-4fc9-ada4-1d2fe92d612f","Emily Palcsak"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EWS.AccessAsUser.All","Principal","2616b453-ccbe-4fc9-ada4-1d2fe92d612f","Emily Palcsak"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EAS.AccessAsUser.All","Principal","86c4f11b-3751-49e1-8665-c049cd9411fd","Lucas Price"
"Delegated","823e4a89-c08f-4fb8-98d9-ffea3fd5f209","iOS Accounts","c923f01b-5eab-47ab-b29d-bf4f18f15d19","Office 365 Exchange Online","EWS.AccessAsUser.All","Principal","86c4f11b-3751-49e1-8665-c049cd9411fd","Lucas Price"
"Delegated","db1730cd-68af-461a-9451-eb7a9bd98770","Barracuda Networks","106820f7-aa24-47fc-8492-01b0e5a0bfd3","Microsoft Graph","Directory.AccessAsUser.All","AllPrincipals",,""
"Delegated","942cf791-c5dd-4c4f-bc33-dcad53d7ff94","Quosal BI","62ca8cac-7063-4a69-9686-3e2ffa2b4188","Windows Azure Active Directory","User.Read","Principal","9608b84d-bc30-4250-8600-3df6c7598cd1","Milton Disser"
"Delegated","942cf791-c5dd-4c4f-bc33-dcad53d7ff94","Quosal BI","0eb8ce97-e8ac-4b66-9beb-b528acde5c7c","Power BI Service","Dataset.Read.All","Principal","9608b84d-bc30-4250-8600-3df6c7598cd1","Milton Disser"
